戳る,糹基,摸,程蔼,程,程Θユ基,挡衡基,害禴,Θユ秖,ゼキ
202410,21400,C,1150,1080,1080,1120,-10,5,115
202410,21500,C,1050,1010,1010,1030,10,3,552
202410,21600,C,965,965,965,950,35,2,183
202410,21700,C,890,840,865,865,25,5,856
202410,21800,C,825,750,795,795,25,14,626
202410,21900,C,760,685,720,720,10,53,232
202410,22000,C,680,605,655,645,20,93,2018
202410,22100,C,610,520,580,580,20,120,830
202410,22200,C,555,458,515,515,17,105,1108
202410,22300,C,494,415,455,455,4,198,647
202410,22400,C,428,336,398,398,7,582,956
202410,22500,C,380,305,345,345,5,587,3337
202410,22600,C,330,265,298,298,-1,573,1352
202410,22700,C,285,230,254,254,-3,272,1145
202410,22800,C,245,192,213,213,-7,627,2233
202410,22900,C,210,160,184,184,1,289,1207
202410,23000,C,178,131,152,152,-4,1882,3954
202410,23100,C,150,110,128,128,-5,377,1319
202410,23200,C,127,92,107,107,-5,659,2448
202410,23300,C,105,81,90,90,-5,630,1941
202410,21400,P,160,116,128,128,-32,216,1383
202410,21500,P,179,128,143,143,-36,731,2565
202410,21600,P,212,150,162,162,-35,246,1264
202410,21700,P,220,166,181,181,-39,605,1739
202410,21800,P,277,182,204,204,-41,959,1153
202410,21900,P,248,217,231,231,-41,189,635
202410,22000,P,310,233,254,254,-51,795,1906
202410,22100,P,338,264,289,289,-45,479,1358
202410,22200,P,371,297,320,320,-56,525,1002
202410,22300,P,438,336,364,364,-52,513,840
202410,22400,P,473,373,404,404,-51,282,668
202410,22500,P,520,425,453,453,-57,332,687
202410,22600,P,545,476,505,505,-70,126,395
202410,22700,P,640,525,570,570,-50,131,385
202410,22800,P,670,605,630,620,-55,56,416
202410,22900,P,720,675,695,695,-50,18,232
202410,23000,P,850,725,755,755,-65,72,298
202410,23100,P,865,850,850,835,-55,2,155
202410,23200,P,1000,905,905,915,-80,2,138
202410,23300,P,1040,985,985,1000,-85,24,153
