到期月份,履約價,類型,最高,最低,最後成交價,結算價,漲跌,成交量,未平倉
202411,22000,C,1240,1190,1190,1180,-40,3,104
202411,22300,C,1050,955,955,955,-40,1054,1188
202411,22400,C,980,880,880,890,-55,1052,1097
202411,22500,C,905,840,840,830,-35,1009,1147
202411,22600,C,880,780,780,765,-20,17,145
202411,22700,C,820,680,695,695,-50,49,121
202411,22800,C,755,625,635,635,-35,63,186
202411,22900,C,690,575,590,590,-30,97,246
202411,23000,C,635,520,530,530,-40,245,908
202411,23100,C,565,468,481,481,-49,195,820
202411,23200,C,515,423,440,440,-30,272,535
202411,23300,C,469,378,389,389,-43,358,1215
202411,23400,C,424,341,347,347,-41,278,826
202411,23500,C,380,304,311,311,-29,525,1096
202411,23600,C,341,268,280,280,-26,222,2264
202411,23700,C,300,237,238,238,-37,386,4313
202411,23800,C,262,206,220,207,-21,143,978
202411,21900,P,271,186,262,262,31,108,893
202411,22000,P,300,206,278,278,26,551,2029
202411,22100,P,317,225,303,303,33,40,440
202411,22200,P,343,248,337,337,34,419,938
202411,22300,P,376,274,362,355,40,236,334
202411,22400,P,396,296,390,390,34,126,689
202411,22500,P,450,324,430,430,34,330,615
202411,22600,P,485,357,464,464,42,168,521
202411,22700,P,520,386,497,497,29,421,937
202411,22800,P,570,421,540,540,50,228,572
202411,22900,P,615,460,585,585,45,429,607
202411,23000,P,660,500,635,635,50,254,883
202411,23100,P,715,545,685,685,35,318,913
202411,23200,P,770,590,730,740,40,185,409
202411,23300,P,820,645,790,790,35,44,1101
202411,23400,P,855,700,845,845,35,60,297
202411,23500,P,935,745,935,910,75,51,542
202411,23600,P,985,865,985,985,60,3,210
202411,23700,P,1040,880,1040,1040,45,18,175
202411,23800,P,1130,935,1130,1110,70,7,84
