Date,ZRP1,FMI1,ZSO1,ZTW1,ZUL1,ZTY1,ZSI1
2015/7/9,199.45,5199,5260,421.8,411,295.8,5006
2015/7/10,203.85,5243,5284,428.2,414.2,300.9,5047
2015/7/13,207.45,5336,5336,432.9,420.2,303.8,5074
2015/7/14,208.5,5365,5368,431.2,423.6,304.4,5122
2015/7/15,209.45,5381,5380,428.4,420.6,303.6,5116
2015/7/16,212.3,5393,5400,432.2,424.1,307.1,5167
2015/7/17,212.35,5410,5403,432.4,414.5,307.2,5154
2015/7/20,213.15,5416,5420,430.1,411.4,303.8,5182
2015/7/21,210.7,5379,5396,431.6,411.7,304.3,5180
2015/7/22,209.45,5360,5375,426.6,403.5,300.5,5098
2015/7/23,208.25,5371,5373,425.2,394.9,299.1,5086
2015/7/24,206.45,5337,5333,418.9,383.7,292.6,5023
2015/7/27,202.15,5287,5269,410.1,380.3,289.7,4986
2015/7/28,203.9,5290,5296,411.9,380.9,288.5,5036
2015/7/29,206.05,5309,5353,415,388.3,293.3,5080
2015/7/30,207.45,5330,5354,411.6,381.8,289.1,5055
2015/7/31,207.65,5384,5379,417.5,389.1,294.3,5111
2015/8/3,209,5359,5355,410.8,384.4,288.1,5044
2015/8/4,208.75,5348,5341,412.6,383.7,291.3,5115
2015/8/5,211.65,5390,5379,414.8,381.6,289.6,5102
2015/8/6,209.95,5360,5309,407.8,375.3,286.2,4994
2015/8/7,208.15,5372,5273,408.2,373.4,287.3,4966
2015/8/10,209.35,5454,5348,413.4,379,290.4,5025
2015/8/11,206,5363,5303,402.4,370.5,287.5,4877
2015/8/12,200.6,5292,5250,396.5,366.1,283.6,4809
2015/8/13,202.45,5353,5309,400.5,363.8,284.3,4841
2015/8/14,202.6,5358,5308,400.9,366.3,282.7,4837
2015/8/17,203.05,5373,5341,395.6,363.8,279.3,4839
2015/8/18,203.45,5346,5350,391.7,359.9,276.1,4775
2015/8/19,199.6,5288,5285,384.9,353.6,272.2,4746
2015/8/20,195.7,5176,5241,379.2,352.5,270.6,4679
2015/8/21,189.3,5027,5096,371.7,345.1,265.4,4590
2015/8/24,178.65,4725,4937,347.4,327.3,253,4230
2015/8/25,186.75,4932,4937,370.3,339.6,266,4576
2015/8/26,183.55,4927,4937,362.7,332.6,262.2,4463
2015/8/27,189.95,5103,5045,379.4,352.3,270.3,4612
2015/8/28,189.8,5114,5078,378.3,354.8,274.7,4589
2015/8/31,189.75,5060,5059,375.7,345.5,274.5,4505
2015/9/1,184.45,4846,4936,365.9,340.5,265.4,4358
2015/9/2,185.45,4870,4923,366.3,336.3,264.8,4363
2015/9/3,189.55,4961,5023,373.2,344.5,268.6,4403
2015/9/4,184.9,4804,4914,360,336.4,260.4,4292
2015/9/7,185.5,4848,4942,359.9,333.3,255.8,4293
2015/9/8,187.95,4866,4978,369.4,339.5,261.8,4453
2015/9/9,190.3,4925,5027,376.8,340.9,261.9,4508
2015/9/10,187.8,4871,4967,374.7,332.1,262.4,4470
2015/9/11,186.15,4848,4965,375.4,333.8,262.8,4452
2015/9/14,185.3,4859,4981,374.9,334.9,265.6,4489
2015/9/15,186.7,4874,5022,378.5,339.4,267.2,4451
2015/9/16,189.5,4942,5077,388.7,349.7,274.4,4574
2015/9/17,189.2,4921,5096,387.5,345.8,273.7,4536
2015/9/18,185.15,4818,5028,386.1,343.4,272.9,4594
2015/9/21,187.15,4830,5038,383.7,336.6,268.9,4489
2015/9/22,181.05,4726,4925,373.9,322.3,261.3,4404
2015/9/23,181.25,4723,4939,372,320,261.2,4375
2015/9/24,177.15,4664,4867,364.7,310.1,254.9,4341
2015/9/25,182.45,4856,4961,371.4,322.6,259.7,4395
2015/9/28,178.5,4731,4833,361.8,312.9,253.8,4331
2015/9/29,177.4,4645,4806,363,310.6,256.6,4274
2015/9/30,181.55,4731,4867,372,322,260.4,4347
2015/10/1,181.05,4761,4866,374.6,322.5,261.1,4381
2015/10/2,181.8,4785,4868,377.7,325.2,262.6,4382
2015/10/5,187.15,4958,5027,390.7,341.4,273,4535
2015/10/6,188.9,4941,5051,390.3,346.9,275.6,4548
2015/10/7,188.6,4978,5036,398.8,351.1,277.7,4624
2015/10/8,189.55,4993,5073,399.5,353.1,282.4,4653
2015/10/9,190.2,5037,5139,408.2,361.4,287.2,4737
2015/10/12,189.9,5034,5132,404.4,358.1,285.3,4724
2015/10/13,187.95,5008,5139,401.5,350.3,281.5,4677
2015/10/14,186.8,4942,5082,400.5,345.7,282.6,4670
2015/10/15,189.2,5031,5107,408.2,345.1,287.3,4742
2015/10/16,190.45,5054,5162,409.8,347.3,287.8,4770
2015/10/19,190.9,5033,5170,408.3,345.9,285.2,4733
2015/10/20,190.3,5026,5180,408.7,345.3,286,4717
2015/10/21,190.05,5107,5171,406.3,341.6,281.9,4713
2015/10/22,194.3,5165,5201,411,347.1,283,4773
2015/10/23,197.8,5191,5258,415.1,351.3,283.2,4830
2015/10/26,197.2,5200,5268,412.2,349,281.6,4815
2015/10/27,195.3,5152,5244,407.9,343.1,277.3,4776
2015/10/28,197.1,5193,5296,408.1,347.9,280.4,4765
2015/10/29,196.75,5150,5317,400.3,341.4,273,4653
2015/10/30,196.55,5144,5313,399.8,339.2,274.4,4647
2015/11/2,197.6,5140,5327,403.6,343.4,278.4,4618
2015/11/3,198.15,5153,5357,408,354.1,281.2,4672
2015/11/4,199.4,5131,5353,410.1,354.6,279.1,4675
2015/11/5,198.55,5171,5338,408.8,352.7,278.8,4636
2015/11/6,199.1,5149,5321,401.2,345.5,270.3,4573
2015/11/9,196.8,5142,5275,395.6,340.6,266.6,4493
2015/11/10,197.05,5184,5282,390.6,337.9,264.8,4471
2015/11/11,198.4,5232,5296,392.4,343.7,265,4526
2015/11/12,195.3,5178,5254,392.2,343.2,261.8,4547
2015/11/13,193.5,5148,5178,384.2,336.6,255.7,4474
2015/11/16,193.8,5157,5159,385.1,334.9,257.5,4464
2015/11/17,198.9,5210,5260,390.3,342.3,265,4554
2015/11/18,198.85,5202,5263,389.1,344.4,265.5,4545
2015/11/19,199.85,5239,5315,396.2,351,270.7,4674
2015/11/20,200.2,5257,5339,399.9,358.4,273,4708
2015/11/23,199.7,5247,5341,398,354.3,271.8,4685
2015/11/24,196.95,5233,5305,396,352.2,266.2,4664
2015/11/25,199.65,5225,5331,396.8,345.9,264.7,4652
2015/11/26,201.7,5262,5353,399.7,344.7,263.4,4670
2015/11/27,201.15,5201,5338,391.8,339.6,258.4,4586
2015/11/30,202,5150,5322,390.9,332.5,256.2,4610
2015/12/1,201.45,5222,5340,395.4,332.1,255.1,4702
2015/12/2,201.4,5212,5350,392.4,329.2,252.8,4697
2015/12/3,195.2,5164,5298,389.7,337.2,251.3,4666
2015/12/4,194.05,5130,5291,390.4,332.7,247.4,4673
2015/12/7,194.8,5137,5270,385.6,329.2,243,4606
2015/12/8,191.65,5079,5270,381.1,321.3,239.3,4544
2015/12/9,190.7,5088,5272,380.1,332.4,241.6,4549
2015/12/10,190.3,5093,5246,378.3,326.4,232.5,4539
2015/12/11,186.35,5005,5163,370.1,317.5,223.2,4444
2015/12/14,182.8,5000,5099,368.6,312,226.4,4395
2015/12/15,188.05,5019,5211,379.2,318.8,235.2,4440
2015/12/16,188.5,5092,5220,381.1,317.3,235.6,4486
2015/12/17,191.2,5120,5229,382,325.1,238.7,4488
2015/12/18,189.7,5086,5158,380.1,319.6,237.5,4543
2015/12/21,187.2,5031,5128,383.3,312.9,237.8,4547
2015/12/22,186.5,5046,5174,384.7,313.5,240.5,4563
2015/12/23,191.85,5143,5224,391,318.2,244.5,4635
2015/12/24,191.85,5143,5224,391,318.2,244.5,4635
2015/12/28,190.35,5087,5228,387,319.7,243.2,4630
2015/12/29,193.15,5162,5292,388.5,321,243.6,4722
2015/12/30,192.5,5139,5287,384.8,313.9,239.3,4731
2016/1/4,186.3,4976,5085,369.7,302.8,230.5,4562
2016/1/5,187.25,5068,5127,373,304.2,232.6,4541
2016/1/6,185.1,4987,5102,367.6,301.9,229.1,4462
2016/1/7,180.9,4928,5018,360.7,293.7,222.7,4349
2016/1/8,178.45,4832,4940,353.5,286.6,216.8,4256
2016/1/11,177.85,4818,4887,351.8,285.4,212.6,4244
2016/1/12,179.55,4794,4907,353.3,283.5,213.8,4253
2016/1/13,179.95,4842,4929,355.2,287.3,217.2,4275
2016/1/14,177.75,4800,4852,350.7,283.5,213.3,4233
2016/1/15,172.05,4697,4782,339.8,276.9,206.2,4088
2016/1/18,171.8,4693,4780,343,276.3,202.1,4096
2016/1/19,174.05,4747,4811,347.8,278,206.4,4163
2016/1/20,168,4509,4655,334.1,266.7,198.2,4026
2016/1/21,171.8,4542,4759,340.7,271.2,201.6,4118
2016/1/22,177.45,4704,4828,349,277.4,209.6,4214
2016/1/25,175.95,4680,4818,348.6,276.1,208.8,4195
2016/1/26,177.8,4682,4827,348.6,276.9,211.8,4216
2016/1/27,177.9,4749,4833,348.9,282.1,214.7,4222
2016/1/28,175.2,4700,4798,348.5,285.6,221.6,4227
2016/1/29,178.65,4783,4863,355.8,293.6,227.5,4289
2016/2/1,178.9,4792,4909,355.8,298.7,226.7,4283
2016/2/2,175.2,4761,4866,349.4,291.4,220.1,4204
2016/2/3,172.4,4658,4809,347.1,292.8,221.5,4171
2016/2/4,172.15,4675,4862,355.8,306.2,230.2,4283
2016/2/5,170.8,4603,4787,352.5,302.4,227.7,4218
2016/2/8,165,4566,4671,346.9,295.2,222.2,4175
2016/2/9,162.55,4512,4707,343.8,289.4,219,4123
2016/2/10,165.05,4444,4733,348.8,292.5,220.2,4138
2016/2/11,159.35,4339,4611,337.6,284.3,216.7,4083
2016/2/12,163.9,4304,4716,342.4,290,222.3,4139
2016/2/15,168.9,4487,4792,349,294.2,226.1,4224
